stars,comment
1.0 out of 5 stars,"









  
  
    
  The phone seems to be owned by some shivang gupta earlier...he has all his details filled in...it's dishearting to know that an esteemed company like apple and amazon woul provide it's users a second hand device. This needs serious and immediate attention.Regards,Deputy directorBureau of Indian standardsMinistry of consumer affairs and public distributionMinistry of consumer affairs

  
"
1.0 out of 5 stars,"









  
  
    
  Not good when I charge mobilebody was earth (current shock) and today charger not working I don’t no how to replace

  
"
5.0 out of 5 stars,"









  
  
    
  This phone is bit big to hold but good for Android users.As per the design review, the phone is excellent with great camera both normal and wide angle, a good sound quality and the replicate feature was awesome to to copy data from old iPhone to your new iPhone.

  
"
1.0 out of 5 stars,"









  
  
    
  Pathetic Amazon service!! Don't buy online. My back camera has problem,  shows many green dots. Apple store is of little help. Amazon as expected,  is of NO help. Waiting to get this resolved. I preferred this over pixel just for camera!!!  Sigh!!!

  
"
1.0 out of 5 stars,"









  
  
    
  I found this black spot while doing set up. Given me defective piece & now not able to give for replacement also. It's a very next day of purchase.

  
"
1.0 out of 5 stars,"









  
  
    
  This I phone11 model {black} looks like Chinese phone.I suggest don't purchase and go with Iphone's other model.

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome phone great camera quality .

  
"
5.0 out of 5 stars,"









  
  
    
  Happy Fillings

  
"
1.0 out of 5 stars,"









  
  
    
  There is a minor Scratch to the glass on the front end it’s only visible when viewed in light properly it seems like a thread from cloth also when you touch that area nothing is felt . Is exchange of the item possible ? Although since it’s Amazon fulfilled I was care free that there would no Damage only after 2 days I was able to notice the damage although everything else looks fine . It would be great if exchange is made possible coz at the end of the day so much money is put into it . If not then I think I would not be buying any electronics product  from Amazon it better to buy from store co I can check everything on the spot .

  
"
5.0 out of 5 stars,"









  
  
    
  If you are an Android user who wants to move to iOS, then this is the best iPhone you can get without spending unnecessary huge amount on pro versions.I myself would have preferred OLED displays over LCD display on iPhone 11 but I just bought the iPhone 11. Trust me the display is very very good on this phone & with all the same chipset as the pro versions, there's really not much that you are losing.You won't regret this purchase if you want to start using iOS! Everything is very fluid & I like it a lot!! Don't think will be moving to Android in future.

  
"
1.0 out of 5 stars,"









  
  
    
  The worst phn I have bought,started to heat up badly the very first time I switched it on ,Moreover it heats up everytime when I switch it on.Tried returning it to apple they denied,don't buy it from amazon

  
"
1.0 out of 5 stars,"









  
  
    
  I Ordered on 24 January 2020 already i am having three issues in that bluetooth is not working, Phone is getting hanged and battery back up is to low the product is defect it's just 6 Days i have purchased it's so bad experience which i never thaught off .

  
"
1.0 out of 5 stars,"









  
  
    
  the product is good and working up to expectations....sorry for miss understanding the issue and I was under the impression that the product was defective...as I wasn’t hearing the voice of other person speaking....this happened because of thin flap of covering on screen

  
"
4.0 out of 5 stars,"









  
  
    
  Been almost 10 months I have been using the iPhone 11 128 GB. Apple is known as one of the premium phone manufacturers who do not compromise on quality, user experience and simplicity (company claims). It is certain that the Apple products have a brand appeal in the Indian market. This appeal allows them to charge a surplus from the customers for their products. Opinions differ if this is justified. For me, I like to evaluate the phone’s features with the cost.The build quality And design of this phone is absolutely fantastic! Curves at the right places, the tactile buttons, it just screams premium. When you pick up the phone, you feet the weight. I came into this phone from a Samsung galaxy and the first thing I notice is the disparity in the weight. This is probably due to the LCD screen on the former as compared to OLED in the galaxy series. The screen on Iphone 11is a “Liquid Retina display”; fancy term for a highly polished, well optimised LCD screen. It is a good screen. It is just slightly above 720p resolution but in everyday activities most people won’t notice it. I noticed it. For me, the screen is a major downside of this phone. You are shelling out almost 70000 ₹, the customer deserves at least a 1080p (full HD) screen. Today when most of the “budget” phones come with 1080p screen, the step back by Apple is definitely not appreciated. It is also necessary to mention, I prefer OLED screen over LCD due to their deep blacks and high contrast ratio. But surprisingly, this LCD screen on the iPhone is better than a few OLED screens I compared it to!(albeit comparing at the same resolution)- Xaomi note series, vivo and oppo. Only Samsung screens were ridiculously amazing even in their M series phones.Another positive of iPhone is the amazing battery life. I am a very heavy user with lots of videos, streaming music all the time, Bluetooth on, WiFi on, location on, browsing, multiple calls daily, video conference meetings, push email- official and personal, light browsing on social media sites and a lot of photos/videos. This beast survives the whole day! But the thing that irks me is the puny 5 watt charger in the box. It takes close to 3 h to charge from 10% to 96%! I suggest you buy a 12 watt charger that is sold separately. Apple should have provided a 12 watt charger in the box at the price point.Another frustrating part of the Apple ecosystem is the iCloud storage that essentially is required if you want to back up phone/photos etc. this costs 79₹ for 50GB PER MONTH. Apple pulls you into their ecosystem with their services, which I must say are excellent. The Apple ecosystem is stress free and just seamless. The phrase “it just works” really works here. I have an MacBook Pro and the iPhone works really well with my laptop allowing me to answer calls, messages right from my laptop.The one feature I wasn’t too sure of, which grew on me until the start of pandemic, is the face recognition. It’s safe, secure and absolutely amazing. It works for all authentication requirements of the phone and is beautiful. I understand now the appeal of face recognition and the “soli” chip on the google pixel4. Btw, the pandemic and the accompanying masks have created a hurdle for the face recognition. Today I wonder if the fingerprint would have been better than the fancy face recognition.One of my favourite is the cameras! It’s Apple! They made their name and reputation on cameras. I won’t say too much on this topic as it’s well known. Only google pixel can compete in the photos department but they iPhone is definitely the video kings.Another key area in which Apple has made their name is the security, encryption and privacy policy. This is one of the major reasons for their premium price tags.I give this phone a very enthusiastic 4 stars. I wish they improve the screen at this price point to at least a 1080p and include a respectable charger in the box. I have not talked about the OS as I believe iOS or android is a personal choice and I am reviewing the key features of the iPhone and it’s hardware.

  
"
1.0 out of 5 stars,"









  
  
    
  hiI had purchased this phone in first week of June 2020 trusting amazon.But this phone is defective, it failed to update, failed to connect to serversFinding no other solution, I used old version of iOS hoping it will work finebut it is not working fine, everytime it hangs and I am not able to worktoday while putting it for charging there was a blast in the battery and since then it is not workingI have just exceeded return period, perhaps my 70 thousand is now gone down the drain

  
"
